Site Id,Sub Region,Region,Beginning,Days Passed,Aging,Alarm,ES POC,SMS POC,History | Issue,Summarize,Domain,
ES2-SUI-02705,Sui,Jacob Abad,2-Jul-22,1221,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-JCA-05614,Jacobabad,Jacob Abad,7-Jul-22,1217,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-GKI-04330,Sukkur,Sukkur,26-Jul-22,1197,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-SUI-02178,Sui,Jacob Abad,17-Aug-22,1176,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-KKO-05047,Sui,Jacob Abad,24-Oct-22,1107,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-DBT-04763,Sui,Jacob Abad,25-Jan-23,1014,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-QSK-04666,ShahdadKot,Larkana,8-Feb-23,1001,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
EUS-GKI-04334,Nausheroferoz,Sukkur,17-Feb-23,991,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04660,Larkana - 2,Larkana,24-Feb-23,985,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-GKI-06431,Ghotki,Sukkur,28-Mar-23,953,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
EUS-QSK-04655,ShahdadKot,Larkana,19-Jul-23,839,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SUI-06943,Sui,Jacob Abad,22-Aug-23,805,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-05712,Larkana - 1,Larkana,19-Sep-23,777,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-DBG-05666,Sui,Jacob Abad,14-Oct-23,753,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-06089,Larkana - 1,Larkana,9-Dec-23,696,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SUI-06944,Sui,Jacob Abad,27-Dec-23,678,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SUI-06938,Sui,Jacob Abad,20-Apr-24,563,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-GDK-01675,Nausheroferoz,Sukkur,10-Jul-24,482,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-KKO-08745,Kandhkot,Jacob Abad,24-Oct-24,376,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-DAY-01942,Dera Allahyar,Jacob Abad,28-Oct-24,372,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-GKI-02117,Ghotki,Sukkur,11-Jan-25,297,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-DRK-07920,Ghotki,Sukkur,31-Jan-25,278,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-LKN-05785,Larkana - 2,Larkana,7-Feb-25,270,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-JCA-02065,Jacobabad,Jacob Abad,13-Feb-25,264,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-QSK-04668,ShahdadKot,Larkana,23-Feb-25,255,180+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-JCA-07912,Jacobabad,Jacob Abad,14-Mar-25,235,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
EUS-QSK-04679,Kandiaro,Sukkur,23-Mar-25,226,180+ Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-JCA-02091,Jacobabad,Jacob Abad,11-Apr-25,207,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-JCA-04873,Kandhkot,Jacob Abad,2-May-25,187,180+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
