ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-KRP-00948,Sukkur,Sukkur,27.5923   68.615,Abdul Rasool,Shahid Ahmed
ES2-KRP-00949,Sukkur,Sukkur,27.5229   68.7355,Abdul Rasool,Shahid Ahmed
ES2-KRP-00951,Sukkur,Sukkur,27.534   68.7622,Abdul Rasool,Shahid Ahmed
ES2-SUK-01523,Sukkur Biker,Sukkur,27.7165   68.8375,Abdul Rasool,Shahid Ahmed
ES2-SUK-01527,Sukkur Biker,Sukkur,27.6988   68.8749,Abdul Rasool,Shahid Ahmed
ES2-SUK-01533,Sukkur Biker,Sukkur,27.69105   68.89522,Abdul Rasool,Shahid Ahmed
ES2-SUK-01534,Sukkur,Sukkur,27.70762   68.87782,Abdul Rasool,Shahid Ahmed
ES2-SUK-01536,Sukkur,Sukkur,27.7342   68.8093,Abdul Rasool,Shahid Ahmed
ES2-NSF-01666,Nausheroferoz,Sukkur,26.87749   68.11535,Abdul Rasool,Shahid Ahmed
ES2-HLN-01672,Kandiaro,Sukkur,27.09863   68.34196,Abdul Rasool,Shahid Ahmed
ES2-GDK-01675,Nausheroferoz,Sukkur,26.9607   68.1817,Abdul Rasool,Shahid Ahmed
ES2-BRD-01677,Sukkur,Sukkur,27.50863   68.45092,Abdul Rasool,Shahid Ahmed
ES2-KMB-01680,Sukkur,Sukkur,27.52129   68.54904,Abdul Rasool,Shahid Ahmed
ES2-SUK-01697,Ghotki,Sukkur,27.90134   69.11872,Abdul Rasool,Shahid Ahmed
ES2-KSH-01748,Ranipur,Sukkur,27.25286   68.47877,Abdul Rasool,Shahid Ahmed
ES2-KRP-01749,Ranipur,Sukkur,27.09266   68.58677,Abdul Rasool,Shahid Ahmed
ES2-SUK-01768,Sukkur Biker,Sukkur,27.70252   68.85784,Abdul Rasool,Shahid Ahmed
ES2-KRP-01770,Ranipur,Sukkur,27.02755   68.52201,Abdul Rasool,Shahid Ahmed
ES2-SDQ-01908,Sadiq Abad,Sukkur,28.079   70.00732,Abdul Rasool,Shahid Ahmed
ES2-DRK-01974,Ghotki,Sukkur,27.89806   69.6581,Abdul Rasool,Shahid Ahmed
ES2-SDQ-01991,Sadiq Abad,Sukkur,28.28739   70.11865,Abdul Rasool,Shahid Ahmed
ES2-SDQ-02021,Sadiq Abad,Sukkur,28.24254   69.86903,Abdul Rasool,Shahid Ahmed
ES2-BRC-02051,Nausheroferoz,Sukkur,26.87114   68.14778,Abdul Rasool,Shahid Ahmed
ES2-SDH-02054,Ranipur,Sukkur,27.26786   68.44376,Abdul Rasool,Shahid Ahmed
ES2-KRP-02098,Sukkur,Sukkur,27.62017   68.75115,Abdul Rasool,Shahid Ahmed
ES2-GKI-02117,Ghotki,Sukkur,28.00583   69.32391,Abdul Rasool,Shahid Ahmed
ES2-RHR-02155,Sukkur Biker,Sukkur,27.7066   68.8802,Abdul Rasool,Shahid Ahmed
ES2-RHR-02156,Sukkur Biker,Sukkur,27.68932   68.85766,Abdul Rasool,Shahid Ahmed
ES2-RHR-02163,Sukkur Biker,Sukkur,27.69136   68.86835,Abdul Rasool,Shahid Ahmed
ES2-RHR-02165,Sukkur Biker,Sukkur,27.694269   68.867461,Abdul Rasool,Shahid Ahmed
