ENF Site ID,Operator,Region,Latitude
ES2-KRP-00948,Jazz,Sukkur,27.5923   68.615
ES2-SUK-01527,Jazz,Sukkur,27.6988   68.8749
ES2-NSF-01666,Jazz,Sukkur,26.87749   68.11535
ES2-HLN-01672,Jazz,Sukkur,27.09863   68.34196
ES2-GDK-01675,Jazz,Sukkur,26.9607   68.1817
ES2-BRD-01677,Jazz,Sukkur,27.50863   68.45092
ES2-KMB-01680,Jazz,Sukkur,27.52129   68.54904
ES2-SUK-01697,Jazz,Sukkur,27.90134   69.11872
ES2-KSH-01748,Jazz,Sukkur,27.25286   68.47877
ES2-KRP-01749,Jazz,Sukkur,27.09266   68.58677
ES2-SUK-01768,Jazz,Sukkur,27.70252   68.85784
ES2-KRP-01770,Jazz,Sukkur,27.02755   68.52201
ES2-SDQ-01908,Jazz,Sukkur,28.079   70.00732
ES2-DRK-01974,Jazz,Sukkur,27.89806   69.6581
ES2-SDQ-01991,Jazz,Sukkur,28.28739   70.11865
ES2-SDQ-02021,Jazz,Sukkur,28.24254   69.86903
ES2-BRC-02051,Jazz,Sukkur,26.87114   68.14778
ES2-SDH-02054,Jazz,Sukkur,27.26786   68.44376
ES2-KRP-02098,Jazz,Sukkur,27.62017   68.75115
ES2-GKI-02117,Jazz,Sukkur,28.00583   69.32391
ES2-RHR-02155,Jazz,Sukkur,27.7066   68.8802
ES2-RHR-02156,Jazz,Sukkur,27.68932   68.85766
ES2-RHR-02163,Jazz,Sukkur,27.69136   68.86835
ES2-RHR-02165,Jazz,Sukkur,27.694269   68.867461
ES2-SUK-02166,Jazz,Sukkur,27.71823   68.84606
ES2-RYK-02171,Jazz,Sukkur,28.09435   69.96459
ES2-SUK-02180,Jazz,Sukkur,27.717582   68.86326
ES2-KDY-02266,Jazz,Sukkur,27.05934   68.21931
ES2-GKI-02374,Jazz,Sukkur,28.07831   69.46512
ES2-SDQ-02376,Jazz,Sukkur,28.215569   70.006623
ES2-KDJ-02377,Jazz,Sukkur,27.45786   68.76448
ES2-RHR-02546,Jazz,Sukkur,27.69929   68.88141
ES2-KDJ-02557,Jazz,Sukkur,27.39844   68.73842
ES2-NSF-03258,Jazz,Sukkur,26.84138°   68.12473°
ES2-MPM-03273,Jazz,Sukkur,28.02584   69.54832
ES2-KRP-03278,Jazz,Sukkur,27.52571   68.74554
ES2-PQL-03317,Jazz,Sukkur,27.88096   69.08919
ES2-GKI-03564,Jazz,Sukkur,28.00773   69.31762
ES2-KWH-03578,Jazz,Sukkur,27.17664   68.29522
ES2-GMT-03686,Jazz,Sukkur,27.38072   68.51696
ES2-SDJ-03689,Jazz,Sukkur,27.59624   68.54181
ES2-DBI-03783,Jazz,Sukkur,27.13566   68.66372
ES2-SUK-03784,Jazz,Sukkur,27.729642   68.847349
ES2-KRP-03807,Jazz,Sukkur,27.62749   68.66295
EUS-RYK-04013,Jazz,Sukkur,28.4023   69.8205
ES2-KRP-04085,Jazz,Sukkur,27.44376   68.39071
ES2-SDQ-04104,Jazz,Sukkur,28.32076   69.81893
ES2-SUK-04106,Jazz,Sukkur,27.698746   68.833974
ES2-TPW-04107,Jazz,Sukkur,27.196522   68.589818
ES2-SUK-04313,Jazz,Sukkur,27.6929   68.8709
EUS-GKI-04327,Jazz,Sukkur,27.97996   69.05923
EUS-GKI-04329,Jazz,Sukkur,27.63197   68.54724
EUS-GKI-04330,Jazz,Sukkur,27.56451   68.4441
EUS-GKI-04331,Jazz,Sukkur,27.45634   68.3581
EUS-GKI-04332,Jazz,Sukkur,27.28117   68.24066
EUS-GKI-04333,Jazz,Sukkur,26.98233   68.582076
EUS-GKI-04334,Jazz,Sukkur,26.89948   68.51358
EUS-GKI-04335,Jazz,Sukkur,26.790212   68.439229
EUS-GKI-04337,Jazz,Sukkur,27.34373   68.30727
EUS-GKI-04338,Jazz,Sukkur,26.86639   68.44854
ES2-SUK-04640,Jazz,Sukkur,27.72381   68.817173
EUS-QSK-04658,Jazz,Sukkur,27.6412   68.47942
EUS-QSK-04661,Jazz,Sukkur,27.30395   68.19773
EUS-QSK-04679,Jazz,Sukkur,27.028202   68.275193
ES2-MRP-04988,Jazz,Sukkur,27.15756   68.46312
ES2-MRP-04998,Jazz,Sukkur,26.97982   68.51181
ES2-KDY-05006,Jazz,Sukkur,27.12764   68.27458
ES2-GKI-05022,Jazz,Sukkur,27.92255   69.18733
ES2-KRP-05063,Jazz,Sukkur,27.51681   68.74774
ES2-GMT-05066,Jazz,Sukkur,27.42376   68.49596
ES2-MPM-05115,Jazz,Sukkur,28.01677   69.55923
ES2-KRP-05418,Jazz,Sukkur,27.56691   68.76705
ES2-GKI-05428,Jazz,Sukkur,27.99338   69.34906
ES2-SUK-05431,Jazz,Sukkur,27.70225   68.82984
ES2-KRP-06076,Jazz,Sukkur,27.5038   68.7364
ES2-NSF-06079,Jazz,Sukkur,27.0411   68.1868
ES2-SPR-06153,Jazz,Sukkur,27.72055   68.82016
ES2-UBA-06364,Jazz,Sukkur,28.15483   69.72878
ES2-UBA-06365,Jazz,Sukkur,28.16708   69.73136
ES2-SUK-06394,Jazz,Sukkur,27.69527   68.85158
ES2-GKI-06431,Jazz,Sukkur,28.015982   69.315075
ES2-PQL-06483,Jazz,Sukkur,27.85566   69.11732
ES2-SDQ-06496,Jazz,Sukkur,28.310922   70.113614
ES2-KDJ-06697,Jazz,Sukkur,27.36576   68.63541
ES2-GKI-06700,Jazz,Sukkur,27.92512   69.33718
ES2-MHP-07527,Jazz,Sukkur,27.0971   68.41507
ES2-NSF-08592,Jazz,Sukkur,26.98665   68.34131
ES2-NSF-08612,Jazz,Sukkur,26.74337   68.16421
ES2-KRP-08764,Jazz,Sukkur,27.29674   68.61328
ES2-RYK-08925,Jazz,Sukkur,28.213254   69.894064
ES2-KRP-09184,Jazz,Sukkur,27.11389   68.60576
ES2-SBP-01690,Jazz,Jacob Abad,28.48899   68.50527
ES2-SBP-01691,Jazz,Jacob Abad,28.44527   68.42277
ES2-DAY-01910,Jazz,Jacob Abad,28.4253   67.99156
ES2-KSH-01911,Jazz,Jacob Abad,28.4836   69.592728
ES2-DAY-01942,Jazz,Jacob Abad,28.40695   68.12647
ES2-JCA-02065,Jazz,Jacob Abad,28.283478   68.43735
ES2-SBP-02076,Jazz,Jacob Abad,28.45926   68.46092
ES2-JCA-02091,Jazz,Jacob Abad,28.14665   68.36243
ES2-SUI-02178,Jazz,Jacob Abad,28.63684   69.18685
ES2-MGK-02181,Jazz,Jacob Abad,28.52962   68.16375
ES2-JCA-02339,Jazz,Jacob Abad,28.2617   68.42498
ES2-GKH-02444,Jazz,Jacob Abad,28.00486   68.27438
ES2-JCA-03121,Jazz,Jacob Abad,28.29152   68.43204
ES2-KSH-03122,Jazz,Jacob Abad,28.42167   69.68948
ES2-THL-03124,Jazz,Jacob Abad,28.23635   68.78099
ES2-SBP-04165,Jazz,Jacob Abad,28.52148   68.5409
EUS-GKI-04326,Jazz,Jacob Abad,28.15458   69.31546
ES2-KSH-04983,Jazz,Jacob Abad,28.43199   69.58773
ES2-KKO-05047,Jazz,Jacob Abad,28.63587   69.20927
ES2-JAF-05670,Jazz,Jacob Abad,28.1814   68.06442
ES2-KKO-06413,Jazz,Jacob Abad,28.25142   69.18284
ES2-KSH-07918,Jazz,Jacob Abad,28.43449   69.570626
ES2-JCA-08489,Jazz,Jacob Abad,28.280243   68.477217
ES2-SPR-01960,Jazz,Jacob Abad,27.94811   68.62723
ES2-SPR-03563,Jazz,Jacob Abad,27.95194   68.64459
EUS-GKI-04328,Jazz,Jacob Abad,27.8522531   68.894179
EUS-QSK-04681,Jazz,Jacob Abad,28.158622   68.946438
ES2-SPR-04963,Jazz,Jacob Abad,28.02128   68.62107
ES2-KPM-05005,Jazz,Jacob Abad,27.92349   68.78048
ES2-SPR-05621,Jazz,Jacob Abad,27.95864   68.64986
ES2-SPR-07917,Jazz,Jacob Abad,27.953344   68.622368
ES2-LKN-01092,Jazz,Larkana,27.54132   68.20121
ES2-QBR-01693,Jazz,Larkana,27.6023   67.90925
ES2-BDA-01713,Jazz,Larkana,27.328682   68.026988
ES2-LKN-01723,Jazz,Larkana,27.54242   68.20504
ES2-LKN-01920,Jazz,Larkana,27.561426   68.21012
ES2-LKN-01965,Jazz,Larkana,27.541   68.19278
ES2-LKN-02195,Jazz,Larkana,27.55802   68.193251
ES2-WRH-02280,Jazz,Larkana,27.50175   67.91122
ES2-QBR-02578,Jazz,Larkana,27.57981   67.84088
ES2-LKN-02668,Jazz,Larkana,27.5515   68.2185
ES2-QBR-02671,Jazz,Larkana,27.5937   68.001
ES2-LKN-02734,Jazz,Larkana,27.55549   68.21934
ES2-LKN-03312,Jazz,Larkana,27.54441   68.21127
EUS-QSK-04654,Jazz,Larkana,27.881404   68.184741
EUS-QSK-04655,Jazz,Larkana,27.82006   68.21823
EUS-QSK-04656,Jazz,Larkana,27.66199   68.19393
EUS-QSK-04657,Jazz,Larkana,27.72082   68.39632
EUS-QSK-04659,Jazz,Larkana,27.58112   68.33421
EUS-QSK-04660,Jazz,Larkana,27.38712   68.27863
EUS-QSK-04662,Jazz,Larkana,27.24678   68.12517
EUS-QSK-04664,Jazz,Larkana,27.28991   68.03054
EUS-QSK-04665,Jazz,Larkana,27.40428   67.99497
EUS-QSK-04666,Jazz,Larkana,27.90039   68.09003
EUS-QSK-04667,Jazz,Larkana,27.95077   68.05704
EUS-QSK-04668,Jazz,Larkana,27.92557   68.00937
EUS-QSK-04669,Jazz,Larkana,27.96153   67.89097
EUS-QSK-04670,Jazz,Larkana,27.91519   67.80808
EUS-QSK-04671,Jazz,Larkana,27.91532   67.73185
EUS-QSK-04672,Jazz,Larkana,27.84511   67.60513
EUS-QSK-04673,Jazz,Larkana,27.7844   67.73557
EUS-QSK-04674,Jazz,Larkana,27.76495   67.84978
EUS-QSK-04675,Jazz,Larkana,27.70262   67.78728
EUS-QSK-04676,Jazz,Larkana,27.69186   67.88423
EUS-QSK-04677,Jazz,Larkana,27.80358   68.03715
EUS-QSK-04678,Jazz,Larkana,27.82137   67.44221
EUS-QSK-04680,Jazz,Larkana,27.60778   67.64307
EUS-QSK-04682,Jazz,Larkana,27.54459   67.55912
EUS-QSK-04684,Jazz,Larkana,27.53524   67.75647
EUS-QSK-04686,Jazz,Larkana,27.39568   67.71506
EUS-QSK-04687,Jazz,Larkana,27.32298   67.75636
EUS-QSK-04688,Jazz,Larkana,27.540563   68.078297
EUS-QSK-04689,Jazz,Larkana,27.5572   68.019
EUS-QSK-04690,Jazz,Larkana,27.9636   67.82716
EUS-QSK-04691,Jazz,Larkana,27.86226   67.77412
EUS-QSK-04692,Jazz,Larkana,27.70522   67.74031
EUS-QSK-04693,Jazz,Larkana,27.47464   67.69994
ES2-SDK-06731,Jazz,Larkana,27.851465   67.90633
ES2-SDK-06738,Jazz,Larkana,27.8404   67.91059
ES2-LKN-06828,Jazz,Larkana,27.54812   68.23136
ES2-LKN-07118,Jazz,Larkana,27.56983   68.20231
ES2-LKN-07446,Jazz,Larkana,27.56981   68.21909
ES2-NSF-08671,Jazz,Sukkur,26.83854   68.12639
ES2-GMT-09746,Jazz,Sukkur,27.336036   68.532201
ES2-PQL-09655,Jazz,Sukkur,27.7848   69.4215
ES2-DMJ-09751,Jazz,Jacob Abad,28.5583   68.2136
ES2-WRH-09598,Jazz,Larkana,27.446769   67.793217
ES2-NSF-09736,Jazz,Sukkur,26.8345   68.1209
ES2-SUK-09789,Jazz,Sukkur,27.736039   68.838482
ES2-LKN-09593,Jazz,Larkana,27.56013   68.214974
ES2-SUK-09788,Jazz,Sukkur,27.70634   68.83991
ES2-CND-09801,Jazz,Sukkur,27.160467   68.964322
ES2-DRK-09814,Jazz,Sukkur,28.080399   69.711139
ES2-KSH-01748,Ufone,Sukkur,27.25286   68.47877
ES2-GKI-02117,Ufone,Sukkur,28.00583   69.32391
ES2-SUK-04106,Ufone,Sukkur,27.698746   68.833974
ES2-KSH-01911,Ufone,Jacob Abad,28.4836   69.592728
ES2-SUI-02178,Ufone,Jacob Abad,28.63684   69.18685
ES2-JCA-02339,Ufone,Jacob Abad,28.2617   68.42498
ES2-JAF-05670,Ufone,Jacob Abad,28.1814   68.06442
ES2-KSH-07918,Ufone,Jacob Abad,28.43449   69.570626
ES2-SPR-05621,Ufone,Jacob Abad,27.95864   68.64986
ES2-SPR-07917,Ufone,Jacob Abad,27.953344   68.622368
ES2-LKN-02195,Ufone,Larkana,27.55802   68.193251
ES2-LKN-02734,Ufone,Larkana,27.55549   68.21934
ES2-SDK-06731,Ufone,Larkana,27.851465   67.90633
ES2-SDK-06738,Ufone,Larkana,27.8404   67.91059
ES2-LKN-06828,Ufone,Larkana,27.54812   68.23136
ES2-LKN-07118,Ufone,Larkana,27.56983   68.20231
ES2-KRP-00949,Ufone,Sukkur,27.5229   68.7355
ES2-SUK-01523,Ufone,Sukkur,27.7165   68.8375
ES2-SUK-01533,Ufone,Sukkur,27.69105   68.89522
ES2-SUK-01536,Ufone,Sukkur,27.7342   68.8093
ES2-GKI-02985,Ufone,Sukkur,27.9252   69.1984
ES2-KRP-05492,Ufone,Sukkur,27.24312   68.34967
ES2-GKI-06099,Ufone,Sukkur,27.98426   69.29265
ES2-DRK-07920,Ufone,Sukkur,28.05493   69.69559 
ES2-DRK-07921,Ufone,Sukkur,28.050189   69.697605
ES2-DRK-07922,Ufone,Sukkur,28.04817   69.71316
ES2-UTM-02704,Ufone,Jacob Abad,28.17362   68.03818
ES2-SUI-02705,Ufone,Jacob Abad,28.64181   69.20058
ES2-DAY-03398,Ufone,Jacob Abad,28.36997   68.36275
ES2-KSH-03811,Ufone,Jacob Abad,28.2556   69.2023
ES2-DBT-04763,Ufone,Jacob Abad,28.62371   69.20293
ES2-JCA-04872,Ufone,Jacob Abad,28.20481   69.10326
ES2-JCA-04873,Ufone,Jacob Abad,28.24783   69.11424
ES2-JCA-05515,Ufone,Jacob Abad,28.19107   69.13568
ES2-JCA-05516,Ufone,Jacob Abad,28.30288   69.31674
ES2-JCA-05517,Ufone,Jacob Abad,28.36583   69.21689
ES2-JCA-05518,Ufone,Jacob Abad,28.31887   69.17407
ES2-JCA-05519,Ufone,Jacob Abad,28.3824   69.16245
ES2-JCA-05520,Ufone,Jacob Abad,28.06036   68.17123
ES2-JCA-05522,Ufone,Jacob Abad,28.21536   69.13332
ES2-JAF-05523,Ufone,Jacob Abad,28.13469   67.82522
ES2-JAF-05524,Ufone,Jacob Abad,28.16786   68.00606
ES2-NSD-05545,Ufone,Jacob Abad,28.31833   67.98055
ES2-SPR-05559,Ufone,Jacob Abad,28.0941   68.32223
ES2-JCA-05566,Ufone,Jacob Abad,28.06268   68.26718
ES2-JCA-05613,Ufone,Jacob Abad,28.24008   68.47124
ES2-JCA-05614,Ufone,Jacob Abad,28.21405   68.36832
ES2-JCA-05615,Ufone,Jacob Abad,28.28157   68.44548
ES2-JAF-05616,Ufone,Jacob Abad,28.23304   68.11041
ES2-NSD-05617,Ufone,Jacob Abad,28.46787   68.27908
ES2-NSD-05618,Ufone,Jacob Abad,28.41027   67.90472
ES2-NSD-05619,Ufone,Jacob Abad,28.53301   68.22353
ES2-JAF-05626,Ufone,Jacob Abad,28.3827   68.35891
ES2-JAF-05627,Ufone,Jacob Abad,28.36866   68.33842
ES2-NSD-05632,Ufone,Jacob Abad,28.43971   68.08918
ES2-NSD-05633,Ufone,Jacob Abad,28.44744   68.19006
ES2-DBG-05666,Ufone,Jacob Abad,28.639342   69.214911
ES2-GUD-05899,Ufone,Jacob Abad,28.42692   69.67761
ES2-SUI-06938,Ufone,Jacob Abad,28.66469   69.18464
ES2-SUI-06943,Ufone,Jacob Abad,28.61979   69.19212
ES2-SUI-06944,Ufone,Jacob Abad,28.64757   69.18901
ES2-STM-07892,Ufone,Jacob Abad,28.17187   68.048631
ES2-JCA-07912,Ufone,Jacob Abad,28.26964   68.41568
ES2-JCA-07913,Ufone,Jacob Abad,28.28887   68.424471
ES2-KKO-08745,Ufone,Jacob Abad,28.247052   69.1871
ES2-RUS-01364,Ufone,Jacob Abad,27.96521   68.80406
ES2-SPR-05416,Ufone,Jacob Abad,27.99228   68.59844
ES2-SPR-05568,Ufone,Jacob Abad,27.93485   68.58782
ES2-SPR-05620,Ufone,Jacob Abad,27.9776   68.68551
ES2-SPR-07910,Ufone,Jacob Abad,27.96166   68.63422
ES2-SPR-08288,Ufone,Jacob Abad,27.94392   68.63792
ES2-SDK-01850,Ufone,Larkana,27.8517   67.90123
ES2-SDK-02702,Ufone,Larkana,27.84855   67.9175
ES2-SDK-03033,Ufone,Larkana,27.84193   67.90594
ES2-SDK-03034,Ufone,Larkana,27.84006   67.89832
ES2-SDK-03632,Ufone,Larkana,27.8856   67.6293
ES2-SDK-04355,Ufone,Larkana,27.85084   67.91042
ES2-LKN-04740,Ufone,Larkana,27.615887   68.008633
ES2-LKN-04741,Ufone,Larkana,27.661905   68.019063
ES2-JCA-05521,Ufone,Larkana,27.98807   67.96275
ES2-LKN-05538,Ufone,Larkana,27.6718   68.06243
ES2-LKN-05539,Ufone,Larkana,27.56039   67.93427
ES2-LKN-05540,Ufone,Larkana,27.72461   68.06435
